QNO|Category|Question|Answer1|Answer2|Answer3|Correct Answer
Q1|2|The universal distress signal for foreign body airway obstruction is when a person clutches the|Chest with both hands|Stomach with both hands|Neck with the thumb and fingers|3
Q10|3|Pulse check for an infant is best done at the|Carotid artery|Branchial artery|Femoral artery|2
Q11|1|Gastric distension is caused by|Low volume of airtoo fast inspiratory flow rate|High volume of airtoo fast inspiratory flow rate|Medium volume of airtoo slow inspiratory flow|2
Q12|0|You have been informed by your neighbour that her aged father has chest pain and shortness of breath your first action will be to|Advice her father to take relief medication|Recognise any early warning signs of heart attack|Advice her to contact her fathers usual GP|2
Q13|5|The chain survival model comprises of early access to|Emergency services basic life support advanced care defibrillation|Emergency services basic life support defibrillation advanced care|Basic life support emergency services defibrillation advanced care|1
Q14|1|The recommended technique for checking the carotid artery is to use the pulps of|Index and little fingers|Index and middle fingers|Index middlle and ring finger|2
Q15|1|To determine unresponsiveness in an unconscious victim that you found by road side you should|Tap the victims shoulder gently|Shake the victims body vigorously|Commence cardiopulmonary resuscitaion|1
Q16|1|Affter 2mins of CPR for an adult victim with cardiac arrest pulse check showed that the victim did not have pulse. What is your next step?|Give rescue breathing|Apply precordial thumb|Continue chest compression|3
Q17|5|When performing external chest compression on an adult victim the sternum sholud be depressed to a depth of|3|5|7|2
Q18|5|The external chest compression rate for one rescuer CPR is approximately|90 beats per minute|100 beats per minute|120 beats per minute|2
Q19|1|The volume of air required in an adult for rescue breathing is|400 to 600ml|400 to 1000ml|800 to 1200ml|1
Q2|5|In activating the EMS system The num to dial is?|911|995|999|2
Q20|2|After inspecting the mouth followed by a finger sweep to remove the object causing airway obstruction in a victim The rescuer should|Turn the victim's head to the side|Place the victim in the recovery position side|Open the airwaycheck for breathing and try to ventilate|3
Q21|2|If airway obstruction is suspected and one attempt to ventilate is not successful Your next intervention is to|Deliver 5 back blows|Deliver 30 chest thrusts|Reposition the head and re-attempt to ventilate|3
Q22|2|To confirm that the airway is patent after you have done a finger sweep following 30 chest compressions in an adult unconscious victim with airway obstruction You would|Give one ventilation.|Look listen and feel for breathing.|Watch for rise and fall of the chest.|2
Q23|3|If you are alone with an infant with cardiopulmonary arrest You would activate the EMS after --- minutes of cardiopulmonary resuscitation|2|5|10|1
Q24|3|The pulse of an infant suspected to be in cardiac arrest should be checked|Before ventilations are given.|After the first two ventilations.|Immediately after opening the airway.|3
Q25|3|When you have confirmed that the infant is not breathing Your next step is to|Open the airway.|Perform rescue breathing.|Perform chest compressions.|2
Q26|3|The appropriate number of breaths delivered to an infant who is not breathing is ------------ breaths in one minute|12|15|20|3
